article_id,title,authors,year,journal,doi,pdf_path,screening_status,examination_status,study_order
M0193,The Organizational Halo: How Perceived Philanthropy Awareness Curbs Abusive Supervision via Moral Pride.,"Ju, Dong ; Tang, Yan ; Geng, Shu ; Lu, Ruobing ; Wang, Weifeng",2025,Behavioral Sciences (2076-328X),10.3390/bs15121706,review/EBSCO/pdfs/EBSCO_M0193_Behavioral Sciences_2025_The_Organizational_Halo_How_Perceived_Philanthro.pdf,included,fully_coded,M0193
M0194,The Double-Edged Sword Effect of Generative AI Adoption on Students' Sustainable Entrepreneurship Intentions.,"Kong, Weiwei ; Hu, Haiqing ; Wang, Zhaoqun ; Qiao, Jianqi ; Liu, Jianjun",2025,Behavioral Sciences (2076-328X),10.3390/bs15121705,review/EBSCO/pdfs/EBSCO_M0194_Intentions. Behavioral Sciences_2025_The_Double-Edged_Sword_Effect_of_Generative_AI_A.pdf,excluded_pls,not_read,
M0195,Cumulative Family Risk and Migrant Children's School Adjustment: A Moderated Mediation Model of Relative Deprivation and Beliefs About Adversity.,"Fu, Shuying ; Zhang, Zhicao ; Gao, Qinqiu",2025,Behavioral Sciences (2076-328X),10.3390/bs15121690,review/EBSCO/pdfs/EBSCO_M0195_Risk_2025_Cumulative_Family_Risk_and_Migrant_Childrens_Sch.pdf,level1_fail,not_read,
M0196,The Relationship Between Career Adaptability and Work Engagement Among Young Chinese Workers: Mediating Role of Job Satisfaction and Moderating Effects of Artificial Intelligence Self-Efficacy and Anxiety.,"Leong, Frederick Theen Lok ; Li, Xuan ; Chen, Emma Mingjing",2025,Behavioral Sciences (2076-328X),10.3390/bs15121682,review/EBSCO/pdfs/EBSCO_M0196_Relationship_2025_The_Relationship_Between_Career_Adaptability_and.pdf,included,fully_coded,M0196
M0197,A Paradox of Fit: How Job Complexity Shapes AI Self-Efficacy and AI Adoption Through a Curvilinear Mechanism.,"Akben, Mustafa ; Dong, Su",2025,Behavioral Sciences (2076-328X),10.3390/bs15121659,review/EBSCO/pdfs/EBSCO_M0197_Mechanism. Behavioral Sciences_2025_A_Paradox_of_Fit_How_Job_Complexity_Shapes_AI_Se.pdf,included,fully_coded,M0197
M0198,Knowledge Sharing in AI-Enabled Workplaces: A Social Cognitive Perspective on Usefulness Perceptions and Competition.,"Zhong, Chuling ; Wang, Yao",2025,Behavioral Sciences (2076-328X),10.3390/bs15121635,review/EBSCO/pdfs/EBSCO_M0198_Zhong_2025_Knowledge_Sharing_in_AI-Enabled_Workplaces_A_Soc.pdf,included,fully_coded,M0198
M0199,Navigating the Digital Landscape: Exploring the Relationship Between Social Media Affordances and Chinese Generation Z's Online Prosocial and Antisocial Behaviors.,Wu Li ; Pengya Ai ; Tian You Guo ; Lianshan Zhang,2025,Cyberpsychology,10.5817/cp2025-4-4,review/EBSCO/pdfs/EBSCO_M0199_Journal of Psychosocial Research on Cyberspace_2025_Navigating_the_Digital_Landscape_Exploring_the_R.pdf,excluded_pls,not_read,
M0200,Development and initial validation of the Urban Restorative Potential Scale: Evidence from the Philippines.,"CORPUZ, Zaldy F.",2025,Urban Challenge / Urbani Izziv,10.5379/urbani-izziv-en-2025-36-02-05,review/EBSCO/pdfs/EBSCO_M0200_CORPUZ_2025_Development_and_initial_validation_of_the_Urban.pdf,level1_fail,not_read,
M0201,Exploring psychological pathways between workplace violence and burnout among nurses in Chinese Tertiary Hospitals.,"Zeng, Zhi ; Xie, Guiqiong ; He, Yazhi ; Zhou, Sumei",2025,Scientific Reports,10.1038/s41598-025-19671-7,review/EBSCO/pdfs/EBSCO_M0201_Zhi Zeng_2025_Exploring_psychological_pathways_between_workpla.pdf,level1_fail,not_read,
M0202,"The Relationships Between Contingent Reward Leadership, Perceived Organizational Support, Knowledge‐Sharing Intention, Innovative Culture, and Kindergarten Teachers' Creative Teaching Performance: A Mediated Moderation Model.","Huang, Maoyong ; Zhang, Jialing ; Ni, Yakun ; Xu, Yanzhen ; Guo, Tengfei",2025,Psychology in the Schools,10.1002/pits.23604,review/EBSCO/pdfs/EBSCO_M0202_Huang_2025_The_Relationships_Between_Contingent_Reward_Lead.pdf,included,fully_coded,M0202
M0203,The Mediating Role of Psychological Capital Between Caring Behaviour and Work Engagement of Nurses: A Cross‐Sectional Study.,"Tian, Wen ; Zhang, Guo‐wen ; Song, Gui‐qi",2026,Nursing Open,10.1002/nop2.70569,review/EBSCO/pdfs/EBSCO_M0203_Nursing Open_2026_The_Mediating_Role_of_Psychological_Capital_Betw.pdf,included,fully_coded,M0203
M0204,"Relationships Between Organizational Innovation Climate, Creative Self-Efficacy, and Innovation Performance: A Cross-Sectional Study in Public Hospitals.","Wu, Ruizhe ; Feng, Xingmiao ; Zhai, Ziyan ; Sun, Xinyue ; Wang, Zhen ; Wang, Zhaoyang ; Meng, Kai",2026,Inquiry (00469580),10.1177/00469580261433833,review/EBSCO/pdfs/EBSCO_M0204_Organization_2026_Relationships_Between_Organizational_Innovation.pdf,included,fully_coded,M0204
M0205,Understanding police officers’ responses to moral injury: the aggravating effect of employee silence.,"Pariona-Cabrera, Patricia ; Alfes, Kerstin ; Bartram, Timothy ; Holland, Peter",2026,International Journal of Human Resource Management,10.1080/09585192.2026.2682838,review/EBSCO/pdfs/EBSCO_M0205_Pariona-Cabrera_2026_The_International_Journal_of_Human_Resource_Mana.pdf,included,fully_coded,M0205
M0206,Beyond survival: gender and regional dynamics of entrepreneurial success factors in transitional economy.,"Mohamed, Fitouri ; Haj Mohamed, Akram",2026,Future Business Journal,10.1186/s43093-026-00846-1,review/EBSCO/pdfs/EBSCO_M0206_:_2026_Beyond_survival_gender_and_regional_dynamics_of.pdf,excluded_pls,not_read,
M0207,Green human resource management and green supply chain integration: the mediating role of ambidextrous environmental strategy.,"Chang, Yue ; Feng, Taiwen ; Tan, Jianyu ; Xian, Fenggang",2026,International Journal of Human Resource Management,10.1080/09585192.2026.2672582,review/EBSCO/pdfs/EBSCO_M0207_Yue Changa_2026_The_International_Journal_of_Human_Resource_Mana.pdf,excluded_pls,not_read,
M0208,When Choice Disappears: Perceived Coercion and Avoidance of Self-Service Technologies Among Older Consumers.,"Lee, Jin-Myong ; Kim, Sowon",2026,Journal of Theoretical & Applied Electronic Commerce Research,10.3390/jtaer21040126,review/EBSCO/pdfs/EBSCO_M0208_Lee_2026_When_Choice_Disappears_Perceived_Coercion_and_Av.pdf,included,fully_coded,M0208
M0209,How Does Human-Robot Collaboration Affect Hotel Employees' Proactive Behavior?,"Li, Jia-Min ; Liu, Ke-Xi ; Xie, Ji-Fei ; Wu, Hao-Yu",2025,International Journal of Human-Computer Interaction,10.1080/10447318.2024.2431769,review/EBSCO/pdfs/EBSCO_M0209_Li_2025_How_Does_Human-Robot_Collaboration_Affect_Hotel.pdf,level1_fail,not_read,
M0210,Green information systems efforts and SMEs' environmental and financial performance: how do eco-management practices shape the story?,"Uzkurt, Cevahir ; Arslan, Safa ; Ekmekcioglu, Emre Burak ; Ceyhan, Semih",2025,Journal of Environmental Planning & Management,10.1080/09640568.2024.2313186,review/EBSCO/pdfs/EBSCO_M0210_Uzkurt_2023_Green_information_systems_efforts_and_SMEs_envir.pdf,included,fully_coded,M0210
M0211,The Dark Side of Employee's Leadership Potential: Its Impact on Leader Jealousy and Ostracism.,"Yu, Zhen ; Wang, Feiwen ; Ye, Long ; Liao, Ganli ; Zhang, Qichao",2025,Behavioral Sciences (2076-328X),10.3390/bs15081001,review/EBSCO/pdfs/EBSCO_M0211_G._2025_The_Dark_Side_of_Employees_Leadership_Potential.pdf,included,fully_coded,M0211
M0212,Do Resilience and Performance Goals Mediate the Relationship Between Parental Educational Support and Chinese High School Students' Self‐Regulated Learning? ‐ Based on the Social Cognitive Theory.,"Zhang, Yue ; Ren, Xiaoqiong",2025,Psychology in the Schools,10.1002/pits.23496,review/EBSCO/pdfs/EBSCO_M0212_Zhang_2024_Psychology_in_the_Schools_RESEARCH_ARTICLE_Do_Re.pdf,excluded_pls,not_read,
M0213,The impact of corporate social responsibility on employee safety citizenship behavior in Chinese gas sector.,"Miao, Guosen ; Chen, Guoping ; Li, Cui",2025,Scientific Reports,10.1038/s41598-025-12083-7,review/EBSCO/pdfs/EBSCO_M0213_Guosen Miao_2025_The_impact_of_corporate_social_responsibility_on.pdf,included,fully_coded,M0213
M0214,Predictors of higher education dropout intention in the post-pandemic era: The mediating role of academic exhaustion.,"Gonzalez, Bárbara ; Mendes, Teresa P. ; Pinto, Ricardo ; Correia, Sónia V. ; Albuquerque, Sara ; Paulino, Paula",2025,PLoS ONE,10.1371/journal.pone.0327643,review/EBSCO/pdfs/EBSCO_M0214_Gonzalez_2025_Predictors_of_higher_education_dropout_intention.pdf,included,fully_coded,M0214
M0215,"Back to Work, Running on Empty? How Recovery Needs and Perceived Organizational Support Shape Employees' Vigor Upon Return to Work.","Wang, Yiting ; Song, Keni ; Guo, Ming ; Ye, Long",2025,Behavioral Sciences (2076-328X),10.3390/bs15070889,review/EBSCO/pdfs/EBSCO_M0215_to Work. Behavioral Sciences_2025_Back_to_Work_Running_on_Empty_How_Recovery_Needs.pdf,included,fully_coded,M0215
M0216,Corporate Social Responsibility and Work Engagement: A Moderated Serial Mediation Model.,"Lv, Mengna ; Luan, Kun",2025,Corporate Social Responsibility & Environmental Management,10.1002/csr.3233,review/EBSCO/pdfs/EBSCO_M0216_Lv_2023_Corporate_Social_Responsibility_and_Work_Engagem.pdf,included,fully_coded,M0216
M0217,The Impact of Stigma on Autonomous Motivation Among Psychiatric Hospital Staff in China: The Mediating Role of Turnover Intention.,"Yin, Yaning ; Hei, Luping ; Zhao, Miaomiao ; Sun, Siwei ; Yuan, Beibei ; Islam, Talat",2026,Journal of Nursing Management,10.1155/jonm/9940890,review/EBSCO/pdfs/EBSCO_M0217_Yin_2025_The_Impact_of_Stigma_on_Autonomous_Motivation_Am.pdf,included,fully_coded,M0217
M0218,Approach or Avoidance: How Does Employees' Generative AI Awareness Shape Their Job Crafting Behavior? A Sensemaking Perspective.,"Yan, Yihang ; Qu, Xiaoqian ; Lei, Hongzhen ; Geng, Yao",2025,Behavioral Sciences (2076-328X),10.3390/bs15060789,review/EBSCO/pdfs/EBSCO_M0218_Yan_2025_Approach_or_Avoidance_How_Does_Employees_Generat.pdf,included,fully_coded,M0218
M0219,From physical self-esteem to sports participation: The mediating role of exercise motivation and social support in adolescents.,"Peng, Bo ; Chen, Weisong ; Wang, Hongshen ; Yu, Ting",2025,PLoS ONE,10.1371/journal.pone.0324588,review/EBSCO/pdfs/EBSCO_M0219_Peng_2025_From_physical_self-esteem_to_sports_participatio.pdf,included,fully_coded,M0219
M0220,Proactive Breakthrough or Passive Exhaustion? A Dual-Path Integrated Model Driven by Perceived Overqualification.,"Fan, Chuanhao ; Shang, Bingbing",2025,Behavioral Sciences (2076-328X),10.3390/bs15050702,review/EBSCO/pdfs/EBSCO_M0220_Fan_2025_Proactive_Breakthrough_or_Passive_Exhaustion_A_D.pdf,included,fully_coded,M0220
M0221,Coping Responses to the Stress of Using News Platforms' Recommendation Algorithms.,"Yang, Jie ; Li, Hongxiu ; Zhang, Linzi ; Xu, Guohu",2025,International Journal of Human-Computer Interaction,10.1080/10447318.2024.2352937,review/EBSCO/pdfs/EBSCO_M0221_Yang_2023_Coping_Responses_to_the_Stress_of_Using_News_Pla.pdf,excluded_pls,not_read,
M0222,Men’s experiences of family supportive supervisor behavior through the lens of gender role traditionalism and nation of residence.,"Olson, Kristine J. ; Leiva, Pedro ; Huffman, Ann ; Wolburg Martinez, Fernanda",2025,"Community, Work & Family",10.1080/13668803.2025.2486127,review/EBSCO/pdfs/EBSCO_M0222_Kristine J. Olsona_2023_Mens_experiences_of_family_supportive_supervisor.pdf,included,fully_coded,M0222
M0223,Coping in the Face of Verbal Aggression: The Role of Self-Efficacy in Protecting Healthcare Professionals' Well-Being and Job Satisfaction.,"Cavallari, Elena ; Setti, Ilaria ; Curcuruto, Matteo ; Sommovigo, Valentina",2025,Behavioral Sciences (2076-328X),10.3390/bs15040478,review/EBSCO/pdfs/EBSCO_M0223_Behavioral Sciences_2025_Coping_in_the_Face_of_Verbal_Aggression_The_Role.pdf,included,fully_coded,M0223
M0224,The psychological mechanisms and behavioral determinants of academic integrity in the age of artificial intelligence.,"Yilmaz, Adem",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1853790,review/EBSCO/pdfs/EBSCO_M0224_Yilmaz_2026_The_psychological_mechanisms_and_behavioral_dete.pdf,excluded_pls,not_read,
M0225,Positive parenting style and academic burnout in physical education teacher education students: a chain mediating model of physical activity and meaning in life.,"Ma, Hui ; Liu, Lijun ; Huang, Shuting ; Yin, Zhonggen ; Liu, Tong",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1854548,review/EBSCO/pdfs/EBSCO_M0225_Ma_2026_Positive_parenting_style_and_academic_burnout_in.pdf,level1_fail,not_read,
M0226,"Beyond prompt engineering: the associations among creative self-efficacy, flow state, learner engagement, and psychological ownership in GenAI-assisted composition.","Tong, Tianyu",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1823846,review/EBSCO/pdfs/EBSCO_M0226_Tong_2026_Beyond_prompt_engineering_the_associations_among.pdf,level1_fail,not_read,
M0227,From overqualification to job crafting: how illegitimate tasks and moral distress shape physicians' self-regulation.,"Li, Tongyao",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1800281,review/EBSCO/pdfs/EBSCO_M0227_Li_2026_From_overqualification_to_job_crafting_how_illeg.pdf,level1_fail,not_read,
M0228,Core self-evaluation and learning burnout among first-year medical students: a three-wave longitudinal study on the mediating roles of anxiety-related distress and problematic digital media use.,"Yang, Shoukai ; Yang, Xudong ; Li, Xiang ; Chen, Li ; Zheng, Yawen ; Dai, Zheru",2026,Frontiers in Medicine,10.3389/fmed.2026.1818069,review/EBSCO/pdfs/EBSCO_M0228_Yang_2026_Core_self-evaluation_and_learning_burnout_among.pdf,level1_fail,not_read,
M0229,Workplace ostracism and political behavior: a moderated mediation model of moral disengagement and supervisor-rated job performance.,"Yu, Xuan ; Yang, Maoting ; Zhang, Hantai",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1838746,review/EBSCO/pdfs/EBSCO_M0229_Yu_2026_Workplace_ostracism_and_political_behavior_a_mod.pdf,included,fully_coded,M0229
M0230,The mechanism of chained psychological resources: the pathway of influence of mood states on executive function in art major candidates.,"Ji, Xiang ; Jin, Peilai ; Zuo, Yu ; Xu, Yiya ; Wang, Miaomiao",2026,Frontiers in Education,10.3389/feduc.2026.1805091,review/EBSCO/pdfs/EBSCO_M0230_Ji_2026_The_mechanism_of_chained_psychological_resources.pdf,level1_fail,not_read,
