pool_id,title,authors,year,journal,publisher_outlet,publisher_outlet_detail,doi,ebsco_an,ebsco_search_position,in_master,master_article_id,pool_status,gap_reason,pdf_status,examination_status,zotero_key,pdf_path,sort_rank,notes
P0037,Leading Innovation in Tourism and Hospitality: The Mediating Role of Knowledge Sharing and Organizational Agility.,"Hasanein, Ahmed Mohamed ; Alhaidar, Maher Abdullah ; Al-Romeedy, Bassam Samir ; Seraj, Abdullah H.",2026,Systems,MDPI,Systems,10.3390/systems14040369,193461681,75,Y,M0256,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0256_Ahmed Mohamed Hasanein_2026_Leading_Innovation_in_Tourism_and_Hospitality_Th.pdf,37,ebsco_search_position=75;ebsco_record_range=51-100
P0038,"Organizational Dehumanization, Perceived Stress, and Patient Depersonalization in French Nurses: A Cross‐Sectional Test of the Spillover Model.","Mollet, Marie Charlotte ; Zerhouni, Oulmann ; Isnard Bagnis, Corinne ; Romo, Lucia ; Fontenot, Justin",2026,Journal of Nursing Management,NA,Journal of Nursing Management,10.1155/jonm/2207579,194783789,21,Y,M0720,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/imports/Mollet_2026_jonm_2207579.pdf,38,ebsco_search_position=21;ebsco_record_range=1-50;export_only_added=2026-06-26
P0039,Positive emotional cues at work: how customer empowering behavior promotes proactive customer service via psychological safety.,"Chen, Wei ; Yao, Kai ; Fan, Zhaoying",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1734905,192001088,105,Y,M0285,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0285_Wei Chen_2026_Positive_emotional_cues_at_work_how_customer_emp.pdf,39,ebsco_search_position=105;ebsco_record_range=101-150
P0040,Positive parenting style and academic burnout in physical education teacher education students: a chain mediating model of physical activity and meaning in life.,"Ma, Hui ; Liu, Lijun ; Huang, Shuting ; Yin, Zhonggen ; Liu, Tong",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1854548,194575476,44,Y,M0225,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0225_Ma_2026_Positive_parenting_style_and_academic_burnout_in.pdf,40,ebsco_search_position=44;ebsco_record_range=1-50
P0041,Proaction or procrastination? The double-edged sword effect of perceived overqualification.,"Sun, Daguang ; Chen, Mengye ; Cheng, Bao ; Huang, Xin",2026,Journal of Personnel Psychology,NA,Journal of Personnel Psychology,10.1027/1866-5888/a000391,2027-66422-001,,Y,M0666,in_pool,,missing,not_read,,,41,ebsco_record_range=501-550
P0042,Provoking or backfiring? A contingent model of how abusive supervision influences learning from failure through fear.,"Wang, Haizhen ; An, Ge ; Xu, Jiajia ; Ding, Lin ; Chen, Jie",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1532064,193526843,62,Y,M0243,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0243_Wang_2024_Provoking_or_backfiring_A_contingent_model_of_ho.pdf,42,ebsco_search_position=62;ebsco_record_range=51-100
P0043,Psychological mechanisms underlying employability among Chinese university students: a sequential mediation model and gender invariance analysis.,"Chang, Hongying ; Yan, Guohua ; Guo, Jichang",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1749175,192510947,98,Y,M0278,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0278_Chang_2026_Psychological_mechanisms_underlying_employabilit.pdf,43,ebsco_search_position=98;ebsco_record_range=51-100
P0044,Psychological pathways between leadership behavior and work-family balance: the mediating roles of employee satisfaction and perceived support.,"Wang, Pengyuan ; Lyu, Bei ; Yang, Qing ; Wan, Qiang",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2025.1626218,191111655,114,Y,M0294,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0294_Lyu_2025_Psychological_pathways_between_leadership_behavi.pdf,44,ebsco_search_position=114;ebsco_record_range=101-150
P0045,"Relationships Between Organizational Innovation Climate, Creative Self-Efficacy, and Innovation Performance: A Cross-Sectional Study in Public Hospitals.","Wu, Ruizhe ; Feng, Xingmiao ; Zhai, Ziyan ; Sun, Xinyue ; Wang, Zhen ; Wang, Zhaoyang ; Meng, Kai",2026,Inquiry (00469580),SAGE,Inquiry (00469580),10.1177/00469580261433833,192767704,23,Y,M0204,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0204_Organization_2026_Relationships_Between_Organizational_Innovation.pdf,45,ebsco_search_position=23;ebsco_record_range=1-50
P0046,"Resource Endowments, Value Cognition, and Strategic Risk-Taking: Explaining Carbon-Reduction Investments in Port Enterprises.","Zhao, Tingting ; Ding, Ning ; Gu, Jing ; Chen, Maowei",2026,Systems,MDPI,Systems,10.3390/systems14020203,192048951,111,Y,M0291,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0291_Tingting Zhao_2026_Resource_Endowments_Value_Cognition_and_Strategi.pdf,46,ebsco_search_position=111;ebsco_record_range=101-150
