"study","scenario","true_b2","n","n_reps","cmv_prop","same_source","measurement_key","measurement_profile","measurement_mode","power_X2","type2_rate_X2","type1_rate_X2","mean_b_X2_tmgt","bias_b_X2"
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0.5,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.04,0.96,NA,-0.00320427989820583,0.136795720101794
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.097,0.903,NA,-0.022202551275429,0.117797448724571
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0.25,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.064,0.936,NA,-0.0047222211879073,0.135277778812093
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0.5,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.051,0.949,NA,-0.00247202747933453,0.137527972520665
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.161,0.839,NA,-0.0235481759482341,0.116451824051766
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0.25,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.063,0.937,NA,-0.00638102855111525,0.133618971448885
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0.5,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.054,0.946,NA,-0.00266741059925852,0.137332589400742
"ambiversion_power","grant_ambivert",-0.14,340,1000,0,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.05,0.95,NA,0.000189148722875485,0.140189148722875
"ambiversion_power","grant_ambivert",-0.14,340,1000,0.25,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.054,0.946,NA,0.000359905562964716,0.140359905562965
"ambiversion_power","grant_ambivert",-0.14,340,1000,0.5,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.051,0.949,NA,-0.0011736675690433,0.138826332430957
"ambiversion_power","grant_ambivert",-0.14,500,1000,0,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.055,0.945,NA,0.00194588116285714,0.141945881162857
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.25,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.053,0.947,NA,-0.00242681545164001,0.13757318454836
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.5,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.043,0.957,NA,0.00135243983979828,0.141352439839798
"ambiversion_power","grant_ambivert",-0.14,750,1000,0,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.052,0.948,NA,-0.000397039901777878,0.139602960098222
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.25,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.034,0.966,NA,-0.00208088951262408,0.137919110487376
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.5,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.057,0.943,NA,-0.000653815921207288,0.139346184078793
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.039,0.961,NA,-0.000767290315004008,0.139232709684996
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0.25,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.041,0.959,NA,-0.000901169261438413,0.139098830738562
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0.5,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.07,0.93,NA,-0.00170181383501203,0.138298186164988
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.052,0.948,NA,-0.00173569757586169,0.138264302424138
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0.25,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.044,0.956,NA,3.33829439558961e-05,0.140033382943956
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0.5,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.038,0.962,NA,-2.61298539510546e-05,0.139973870146049
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.044,0.956,NA,-0.00487098258665736,0.135129017413343
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0.25,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.057,0.943,NA,-0.000356102644175566,0.139643897355824
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0.5,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.048,0.952,NA,-0.000315083048246234,0.139684916951754
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.062,0.938,NA,-0.00171110594816258,0.138288894051837
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0.25,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.046,0.954,NA,-0.000761091708491674,0.139238908291508
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0.5,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.047,0.953,NA,-0.000661760869080683,0.139338239130919
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.044,0.956,NA,-0.0025948378688118,0.137405162131188
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0.25,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.041,0.959,NA,-0.000872095169228585,0.139127904830771
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0.5,TRUE,"unfolding_extremes","Unfolding ideal-point (extreme locations)","unfolding_extremes",0.046,0.954,NA,0.000109797631601748,0.140109797631602
"ambiversion_power","grant_ambivert",-0.14,340,1000,0,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.137,0.863,NA,-0.0825241158974984,0.0574758841025016
"ambiversion_power","grant_ambivert",-0.14,340,1000,0.25,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.073,0.927,NA,-0.0249363447943647,0.115063655205635
"ambiversion_power","grant_ambivert",-0.14,340,1000,0.5,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.061,0.939,NA,-0.0133335634227206,0.126666436577279
"ambiversion_power","grant_ambivert",-0.14,500,1000,0,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.189,0.811,NA,-0.0834517723615072,0.0565482276384928
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.25,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.086,0.914,NA,-0.0285485747577625,0.111451425242238
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.5,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.055,0.945,NA,-0.012685983716112,0.127314016283888
"ambiversion_power","grant_ambivert",-0.14,750,1000,0,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.264,0.736,NA,-0.0837705973472456,0.0562294026527544
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.25,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.105,0.895,NA,-0.0269360488024112,0.113063951197589
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.5,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.082,0.918,NA,-0.0158240624846703,0.12417593751533
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.316,0.684,NA,-0.0823589799948409,0.0576410200051591
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0.25,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.128,0.872,NA,-0.0269084159894804,0.11309158401052
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0.5,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.09,0.91,NA,-0.0144821081977765,0.125517891802224
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.487,0.513,NA,-0.084207212276057,0.055792787723943
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0.25,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.174,0.826,NA,-0.0289998915509258,0.111000108449074
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0.5,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.093,0.907,NA,-0.0128536971688774,0.127146302831123
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.563,0.437,NA,-0.0805693363248134,0.0594306636751866
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0.25,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.184,0.816,NA,-0.0258563052773493,0.114143694722651
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0.5,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.107,0.893,NA,-0.0149751865151613,0.125024813484839
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.752,0.248,NA,-0.0824023001555621,0.0575976998444379
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0.25,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.258,0.742,NA,-0.0271394868586265,0.112860513141374
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0.5,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.148,0.852,NA,-0.0139142564947689,0.126085743505231
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.932,0.0679999999999999,NA,-0.0835921111119076,0.0564078888880924
