"scenario","scenario_label","true_b2","true_b5","optimal_x","n","n_reps","cmv_prop","same_source","rho_m_x","rho_m_y","rho_m_w","asymmetric","measurement_profile","prop_sig_X2_tmgt","prop_sig_X2W_tmgt","prop_sig_X2_quadratic","mean_b_X2_tmgt","mean_b_X2W_tmgt","type1_rate_X2","type2_rate_X2","type1_rate_X2W","type2_rate_X2W","power_X2","mean_r2_tmgt","mean_r2_linear"
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0,TRUE,0.3,0.3,0.3,FALSE,"default",0.882,0.063,0.889,-0.135514428665261,-0.000162564498431161,NA,0.118,0.063,NA,0.882,0.155468929722642,0.122256412921441
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0.25,TRUE,0.3,0.3,0.3,FALSE,"default",0.478,0.047,0.493,-0.0809913605950764,0.00079083929094829,NA,0.522,0.047,NA,0.478,0.0976025425467141,0.0813670683754774
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0.5,TRUE,0.3,0.3,0.3,FALSE,"default",0.173,0.049,0.174,-0.0408581413671337,0.00143759589502353,NA,0.827,0.049,NA,0.173,0.0606245397280273,0.0519291180081792
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0,FALSE,0.3,0.3,0.3,FALSE,"default",0.895,0.052,0.903,-0.137160452775232,-0.00286044593015769,NA,0.105,0.052,NA,0.895,0.15621820756832,0.122476161332242
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0.25,FALSE,0.3,0.3,0.3,FALSE,"default",0.472,0.057,0.484,-0.0793553127919428,0.00163906594486646,NA,0.528,0.057,NA,0.472,0.0849640962018633,0.0689665378844191
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0.5,FALSE,0.3,0.3,0.3,FALSE,"default",0.173,0.05,0.18,-0.0411120023309357,0.000752481393877779,NA,0.827,0.05,NA,0.173,0.0421269214224999,0.0334227892770618
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0.25,TRUE,0.3,0,0,TRUE,"default",0.478,0.061,0.481,-0.0810996127808701,-2.16616014976725e-05,NA,0.522,0.061,NA,0.478,0.0853349102359512,0.0690198882330274
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0.25,TRUE,0.3,0.1,0,TRUE,"default",0.52,0.055,0.531,-0.0823061936295525,0.00135878449347604,NA,0.48,0.055,NA,0.52,0.0892230940065886,0.0724144717803679
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0.5,TRUE,0.3,0,0,TRUE,"default",0.173,0.049,0.172,-0.0409054778789205,0.00222428576554789,NA,0.827,0.049,NA,0.173,0.0430713373993411,0.0341496531149102
"moderated_tmgt","Moderated TMGT (peak shifts with W)",-0.15,-0.05,1.33333333333333,200,1000,0,TRUE,0,0,0,FALSE,"default",0.644,0.134,0.659,-0.133404189458492,-0.0521138589135828,NA,0.356,NA,0.866,0.644,0.185233757550406,0.148929942186364
"moderated_tmgt","Moderated TMGT (peak shifts with W)",-0.15,-0.05,1.33333333333333,200,1000,0.25,TRUE,0,0,0,FALSE,"default",0.296,0.07,0.31,-0.0797365899228131,-0.0219442366167359,NA,0.704,NA,0.93,0.296,0.108201160289426,0.0884663954765113
"moderated_tmgt","Moderated TMGT (peak shifts with W)",-0.15,-0.05,1.33333333333333,200,1000,0.5,TRUE,0,0,0,FALSE,"default",0.125,0.048,0.128,-0.041461966105991,-0.00946946137486231,NA,0.875,NA,0.952,0.125,0.0600827765434945,0.0470872558261668
"moderated_tmgt","Moderated TMGT (peak shifts with W)",-0.15,-0.05,1.33333333333333,200,1000,0,FALSE,0,0,0,FALSE,"default",0.645,0.111,0.655,-0.133368471667381,-0.0458929235600227,NA,0.355,NA,0.889,0.645,0.183028223433624,0.147556381242831
"moderated_tmgt","Moderated TMGT (peak shifts with W)",-0.15,-0.05,1.33333333333333,200,1000,0.25,FALSE,0,0,0,FALSE,"default",0.297,0.081,0.298,-0.0775938064555865,-0.0254313864837033,NA,0.703,NA,0.919,0.297,0.10824543360878,0.0883407352578255
"moderated_tmgt","Moderated TMGT (peak shifts with W)",-0.15,-0.05,1.33333333333333,200,1000,0.5,FALSE,0,0,0,FALSE,"default",0.101,0.056,0.1,-0.0403862713937354,-0.00931041510491206,NA,0.899,NA,0.944,0.101,0.0605399046497812,0.0480934724672298
"moderated_tmgt","Moderated TMGT (peak shifts with W)",-0.15,-0.05,1.33333333333333,200,1000,0,TRUE,0.3,0.3,0.3,FALSE,"default",0.657,0.125,0.672,-0.135194692610889,-0.0504471889567929,NA,0.343,NA,0.875,0.657,0.187491772076276,0.150276436536709
"moderated_tmgt","Moderated TMGT (peak shifts with W)",-0.15,-0.05,1.33333333333333,200,1000,0.25,TRUE,0.3,0.3,0.3,FALSE,"default",0.3,0.068,0.313,-0.0802279774989796,-0.0225015411274279,NA,0.7,NA,0.932,0.3,0.121684680042746,0.102216524590174
"moderated_tmgt","Moderated TMGT (peak shifts with W)",-0.15,-0.05,1.33333333333333,200,1000,0.5,TRUE,0.3,0.3,0.3,FALSE,"default",0.106,0.058,0.109,-0.0409965058289787,-0.0102404396773096,NA,0.894,NA,0.942,0.106,0.0838664314029984,0.071816758303695
