"","Condition","PP","OCBI","OCBO","IRB"
"329","CSManipulation",3.7,4.28571428571429,4.14285714285714,4.28571428571429
"330","Control",4.1,4.85714285714286,4.85714285714286,5
"331","CSManipulation",3.8,4.42857142857143,4.71428571428571,5
"332","ScaleRand",3.6,3.71428571428571,3.85714285714286,4.28571428571429
"333","ScaleRand",4.9,4.42857142857143,4.57142857142857,5
"334","Control",3.4,4,3.42857142857143,4
"335","ScaleRand",4,4.14285714285714,4,4
"336","ItemRand",4.2,3.85714285714286,3.57142857142857,3.71428571428571
"337","Control",4.1,3.57142857142857,4.28571428571429,4.71428571428571
"338","CSManipulation",5,5,5,3.14285714285714
"339","FillerScales",4.7,4.14285714285714,4.28571428571429,4.85714285714286
"340","Control",3.6,4.57142857142857,3.57142857142857,4.85714285714286
"341","ItemRand",4.1,3.85714285714286,3.85714285714286,3.42857142857143
"342","ScaleRand",3.8,4,4,4
"343","ScaleRand",3.1,4,4.14285714285714,4.71428571428571
"344","ItemRand",4.1,4,4,4.14285714285714
"345","ItemRand",4.9,5,5,5
"346","FillerScales",3.9,4,4.14285714285714,5
"347","Control",4.4,2.85714285714286,4.85714285714286,4.57142857142857
"348","FillerScales",4.1,4.57142857142857,4.85714285714286,4.85714285714286
"349","ScaleRand",3.8,4,4,4.42857142857143
"350","CSManipulation",2.7,4.14285714285714,4,4.85714285714286
"351","ScaleRand",4.3,4.57142857142857,4.85714285714286,4.71428571428571
"352","FillerScales",2.8,5,5,4.28571428571429
"353","FillerScales",2.6,4,2.71428571428571,4.28571428571429
"354","ItemRand",5,5,5,5
"355","CSManipulation",5,5,5,5
"356","CSManipulation",3.5,3.57142857142857,3.71428571428571,4.42857142857143
"357","CSManipulation",4.4,4.85714285714286,5,5
"358","FillerScales",4.2,3.71428571428571,3.28571428571429,4
"359","ItemRand",3.7,3.57142857142857,4.42857142857143,4.28571428571429
"360","ItemRand",4,4.28571428571429,4.71428571428571,4
"361","CSManipulation",4.8,3.57142857142857,5,4.42857142857143
"362","Control",2.3,3.85714285714286,3.57142857142857,4
"363","ItemRand",3.6,3.85714285714286,4,4
"364","FillerScales",4,4.28571428571429,4.57142857142857,3.57142857142857
"365","ScaleRand",3.4,3.42857142857143,3.85714285714286,3.57142857142857
