TMGT-CMV Monte Carlo (1000 reps/cell, N=200, extended=TRUE)

Scenario: null_tmgt (Null TMGT (linear only))
  N = 200
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.554, Power X2=0.446
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.849, Power X2=0.151
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.110, Power X2=0.890
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.535, Power X2=0.465
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.848, Power X2=0.152
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.113, Power X2=0.887
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.534, Power X2=0.466
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.828, Power X2=0.172
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.125, Power X2=0.875
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.528, Power X2=0.472
  CMV=0.50, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.830, Power X2=0.170
  CMV=0.25, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.547, Power X2=0.453
  CMV=0.25, same_source=TRUE, rho=(0.30,0.10,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.520, Power X2=0.480
  CMV=0.50, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.849, Power X2=0.151

Scenario: ideal_tmgt (Ideal TMGT (strong inverted-U))
  N = 200
  CMV=0.00, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.007, Power X2=0.993
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.276, Power X2=0.724
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.730, Power X2=0.270
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.007, Power X2=0.993
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.244, Power X2=0.756
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.757, Power X2=0.243
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.008, Power X2=0.992
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.273, Power X2=0.727
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.717, Power X2=0.283
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.007, Power X2=0.993
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.270, Power X2=0.730
  CMV=0.50, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.752, Power X2=0.248
  CMV=0.25, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.254, Power X2=0.746
  CMV=0.25, same_source=TRUE, rho=(0.30,0.10,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.286, Power X2=0.714
  CMV=0.50, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.750, Power X2=0.250
  N = 340
  CMV=0.00, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.000, Power X2=1.000
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.070, Power X2=0.930
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.602, Power X2=0.398
